ID,Species class,Species,Name,Pileus Cap Width L,Pileus Cap Width R,Stipe Length L,Stipe Length R,Stipe Thickness L,Stipe Thickness R,Spores major axis L,Spores major axis R,Spores minor axis L,Spores minor axis R
221,14,Tricholoma,vernaticum,4,14,5,13,2,3.5,8.5,11,4,6
222,15,Hygrophorus,agathosmus,3,7,4,7,1,2,7.5,9.5,4,5.5
223,15,Hygrophorus,caeruleus,4,8,3,5,1,2.5,6.5,8.5,4.5,5
224,15,Hygrophorus,chrysodon,3,7,2.5,7,0.5,1.3,8,10,4,5
225,15,Hygrophorus,gliocyclus,3,9,3,5,1.5,2.5,8.5,10,4.5,6
226,15,Hygrophorus,hypothejus,2.5,7,4,8,0.5,1.2,7.5,10,4,5
227,15,Hygrophorus,eburneus,2.5,7,4,12,0.5,1.5,6.5,8,3.5,5
228,15,Hygrophorus,pudorinus,6,14,12,15,1.5,2,7.5,10.5,5,6
229,15,Hygrophorus,purpurascens,4,11,2,9,1.5,2.5,5.5,7.5,3,4.5
230,15,Hygrophorus,subalpinus,6,12,4,10,3,5,7.5,10.5,4.5,5.5
231,15,Hygrophorus,pusillus,1,5,2,7,0.1,0.8,7,9,4,5
232,15,Hygrophorus,pudorinus,5,10,4,9,1,2,6.5,9.5,4,5.5
233,15,Hygrophorus,bakerensis,4,15,7,14,0.8,2.5,7,9,4.5,5
234,16,Leccinum,brunneum,6,10,8,15,1.5,3,15.5,19.5,4,5
235,16,Leccinum,discolor,8,12,7,9,1,2,15,19.5,4.5,6
236,16,Leccinum,largentii,8,15,10,12,1.5,3.5,13.3,17.1,4,6
237,16,Leccinum,manzanitae,5,18,9,17,2,4,13,17.5,4,5
238,16,Leccinum,scabrum,5,14,8,14,2,4,14,18,5,6
239,16,Leccinum,arbuticola,7,10.5,9,13,1,3.5,15,17.1,4.5,5.8
240,16,Leccinum,armeniacum,8,11,8,12,1.5,3,11,14.5,3.8,5
241,16,Leccinum,aurantiacum,8,15,10,17,2,3,12,13.5,3.5,4.5
242,16,Leccinum,californicum,5,7.5,5,8,1,1.5,14.5,17.5,5.5,6.5
243,16,Leccinum,constans,10,14,12,15,2,3,15.5,18,4,5
244,16,Leccinum,insigne,10,15,10,15,2,2.5,14,16.5,5,6.5
245,16,Leccinum,montanum,3,8,5,10,1,1.5,14,17.5,4,6
